sentimen,ulasan
Positif,"- orang -orang 
- Keseimbangan kerja yang bagus/hidup"
Negatif,"Banyak berpura -pura menginginkan perubahan, tetapi tidak ada keinginan untuk melakukan apa yang perlu untuk sampai ke sana.Pada akhirnya, tujuan mulia untuk berbuat baik dalam pendidikan macet dalam revolusi industri"
Positif,"Orang baik untuk bekerja dengan dan fasilitas yang baik.
Bagus untuk siswa yang mencari pekerjaan musim panas."
Positif,Komunitas yang hebat.Jam kerja yang fleksibel.Kerja bagus/keseimbangan hidup.
Positif,"Keseimbangan kehidupan kerja yang luar biasa
Lingkungan yang ramah dan turun ke bumi
Gaji dan manfaat yang masuk akal
Kerja fleksibel"
Positif,"Lingkungan kerja yang menyenangkan, dengan anggota staf dan manajemen tetap selalu siap untuk menawarkan saran dan dukungan.Sangat menyenangkan mengetahui bahwa Anda berkontribusi terhadap sesuatu yang berharga, yang membantu menciptakan suasana positif dan ramah yang dimiliki AQA."
Negatif,"Diperlakukan sangat buruk seperti anak -anak, berteriak.Tempat yang mengerikan untuk bekerja"
Positif,"Rekan kerja yang luar biasa
Campuran yang baik dari komunitas etnis
Lokasi bagus- mudah diakses
Lingkungan yang ramah
Staf mayoritas dapat didekati"
Positif,Staf yang ramah dan positif di sana
Positif,"Peran bagus, manajemen yang fantastis, budaya yang relevan"
Positif,"Keseimbangan kehidupan kerja yang luar biasa.
Lingkungan kerja yang santai.
Mayoritas orang bersemangat tentang peran dan pendidikan mereka.
Tunjangan liburan yang murah hati.
Budaya bekerja bersama.
Fokus pada kesejahteraan karyawan.
Struktur gaji yang jelas.
Peluang pengembangan di luar peran inti."
Positif,"Flexitime 
Kantin di situs 
Suasana yang ramah 
Membantu 
Perkembangan"
Positif,Gaji jam yang baik dan jam kerja fleksibel
Positif,Jam yang panjang dan teratur berarti itu adalah cara yang baik untuk mendapatkan uang.
Positif,"Manajer bagus dengan liburan 
Pembayaran mingguan
Banyak suguhan sebagai penasihat pelanggan
Waktu shift bervariasi"
Positif,"Suasana yang ramah, kolega yang mendukung, banyak manfaat dan kegiatan staf yang baik, kerja yang fleksibel dan menghormati keseimbangan kehidupan kerja.Daftar program pelatihan yang komprehensif, termasuk percakapan yang sengit dan ketahanan.Akses ke database pelatihan online termasuk kursus umum (non-AQA).Tempat terbaik yang pernah saya kerjakan.AQA adalah amal dan pekerjaan itu bermanfaat dan sangat penting bagi saya - kami memberi orang kualifikasi.Kami secara teratur mengumpulkan uang untuk badan amal lain dan sukarelawan staf kami dalam proyek komunitas.Jika kita memilih, kita bisa mendapatkan cuti berbayar hingga 5 hari untuk menjadi sukarelawan setiap tahun.Saya memiliki beberapa kondisi kesehatan fisik dan mental dan menemukan ini lingkungan yang ramah, pengertian, akomodatif, dan mendukung.Saya telah sembuh dan tumbuh begitu banyak di sini."
Positif,"Orang -orang baik, uang besar, benar -benar merawat karyawan sementara.Pekerjaan itu membosankan tetapi pengawas benar -benar berusaha membuatnya menyenangkan yang hebat"
Positif,"Lingkungan kantor yang bagus, sebagian besar suhu musim panas adalah siswa yang sangat mudah didapat, pengawas yang baik dan masalah apa pun yang disortir dengan cepat."
Positif,"Gaji yang baik, manfaat besar, kebijakan ramah keluarga, kerja fleksibel."
Positif,Orang -orang hebat yang benar -benar peduli dan ingin melakukan pekerjaan dengan baik
Positif,Kerja mudah.Dibayar dengan baik.Banyak peluang lembur (£ 500+ dalam satu minggu dengan lembur maksimal diambil)
Positif,Orang yang sangat menyenangkan untuk diajak bekerja sama dan sangat ramah
Positif,"Pengalaman dan pengembangan yang baik, tim hebat dan dipercaya oleh manajemen atas."
Negatif,"Tidak ada keamanan pekerjaan, bahkan pekerjaan penuh waktu biasanya merupakan kontrak 1 tahun.Hanya mendapatkan kontrak permanen jika Anda BFF dengan manajemen (bukan karena keterampilan/kerja keras).Bahkan jika Anda mendapatkan pekerjaan temp, itu bisa dilepas dari setiap saat tanpa pemberitahuan, juga berantakan membayar banyak kali, yang berarti saya pergi berminggu -minggu tanpa bayaran"
Positif,"Manfaat SDM yang bagus
Keseimbangan kehidupan kerja
Gaji yang bagus
Orang -orang yang baik"
Positif,Tim yang baik dan manajemen untuk bekerja sama
Positif,Pekerjaan yang nyaman untuk membuat Anda membeli
Negatif,"Sulit untuk menyelesaikan sesuatu, banyak silio yang bekerja"
Negatif,Terlalu lama untuk mendaftar karena itu tidak
Positif,AQA adalah salah satu tempat terbaik yang pernah saya kerjakan
Positif,"- Tim yang hebat
- Manfaat besar"
Positif,"Orang -orang cantik yang ramah, adil, ramah"
Positif,Ini adalah tempat kerja yang sangat mendukung.Cukup santai
Positif,Perusahaan terbaik untuk bekerja.Menikmati waktu saya di sini
Positif,"Jam dan orang, lingkungan yang ramah"
Positif,"Tim yang membantu
Lingkungan yang ramah
Struktur yang mendukung
Mayoritas pelanggan ramah"
Positif,Mencari kesejahteraan staf;merawat;mendukung;komunikasi staf yang jelas
Positif,Fleksibilitas dan suasana santai
Positif,Staf dan pelatihan berpengetahuan yang baik
Positif,"Suasana tim yang hebat 
Pelatihan yang layak 
Pekerjaan musim panas yang layak dibayar saat di uni
Banyak lembur tersedia"
Positif,Pekerjaan yang bermakna dan manfaat besar
Positif,"Fleksibel, ramah keluarga, manfaat yang baik"
Negatif,Yang bisa saya katakan adalah perusahaan yang tidak terorganisir di Treats It Staff Wrong Pay tidak pernah tepat waktu dan sebagian besar waktu salah.
Positif,Ini adalah tempat yang bagus untuk bekerja.
Positif,"Asda peduli tentang orang -orangnya.Pekerjaan khusus ini memotivasi, serba cepat, keterampilan yang dibutuhkan bersama dengan keterampilan pelanggan yang baik.Bahkan dengan bisnis di belakang meja, pekerjaan itu bermanfaat karena memiliki beberapa tugas untuk mengelola secara bersamaan memungkinkan tingkat tanggung jawab yang tinggi, bahkan untuk peran entry-level."
Positif,"dan asda memang menjaga stafnya dan begitu Anda berada di sana, Anda tidak ingin pergi, saya ingin pekerjaan jangka pendek selama beberapa bulan tetapi sudah ada selama 5 tahun sekarang.Ditambah kamu mendapatkan diskon 10% semua belanja Anda"
Positif,"kerja tim yang hebat, bekerja bersama"
Positif,"kerja tim yang hebat, bekerja bersama"
Positif,"Tarif jam yang baik untuk anak muda
Lingkungan kerja yang bagus 
Beberapa peluang untuk pengembangan"
Positif,Dapat membuat beberapa teman yang sangat baik dan memiliki olok -olok yang baik di tempat kerja;Sebagian besar pekerja ramah dan diakui;Pekerjaannya tidak sulit dan selalu ada seseorang di dekatnya dan mudah didekati jika dibutuhkan bantuan
Negatif,"Manajer yang sangat tidak profesional 
Bersama -sama tentang staf yang bekerja baik Sabtu atau Minggu (kebijakan perusahaan yang secara membabi buta dipatuhi oleh semua manajer - bahkan ketika itu bukan masalahnya)
Fleksibilitas yang buruk sehubungan dengan perubahan departemen dan tidak ada rotasi pekerjaan
Dibayar lebih sedikit dibandingkan dengan pengecer Big 3 lainnya (Sainsburys, Morissons dan Tesco)
Pekerjaan yang sangat monoton pada waktu -waktu tertentu, tetapi ini lebih merupakan karakteristik industri daripada ASDA pada khususnya"
Positif,"Manajer menghormati karyawan mereka
Gaji yang baik
Tarif pembayaran liburan yang bagus
Mereka memberi jam yang Anda minta
Biasanya ada lembur"
Negatif,"Profesional tidak diperlakukan dengan adil.  
Beberapa pelanggan yang mengerikan"
Positif,"Tarif gaji yang baik
Diskon dan manfaat di tingkat optimal"
Positif,Tempat yang memahami kebutuhan kolega dan membuat pengaturan yang diperlukan sesuai dengan potensi pekerjaan Anda.
Positif,Jika Anda tinggal di dekatnya dan secara fisik sehat maka sebagai posisi default penghasilan dasar saat ini merupakan taruhan yang bagus.Ini adalah posisi aman yang masuk akal tetapi berada di ceruk yang sangat kompetatif dari sektor ritel.
Positif,"4 Pembayaran Mingguan, dapat fleksibel untuk bekerja, diskon staf, hari diskon bonus jika perusahaan mencapai target, bonus tahunan jika toko Anda mencapai target, seragam gratis, sepatu pengaman diskon, peluang pelatihan dengan kota & guild dan peluang untuk maju."
Negatif,"Berjam -jam yang dikontrak, sedikit kelonggaran di Rotas, manajemen korup, jam -jam cerdik."
Positif,"Mereka mengajari saya cara memberikan pelayanan yang sangat baik
Manajernya cukup bagus
Satu -satunya tempat yang akan mengambil anak berusia 16 tahun"
Positif,"Prospek karier yang baik.
Kepuasan kerja yang baik
Keseimbangan kehidupan kerja yang baik"
Positif,"kesegaran, baik, dukungan, kebebasan dan sikap"
Positif,supermarket makanan yang baik perilaku baik layanan pelanggan yang baik
Negatif,"Pemotongan jam baru -baru ini membuat beban kerja gila -gilaan. 
Asda House, tubuh utama.terlalu terlibat tanpa pernah bekerja di lantai toko sendiri.Sesuatu yang terlihat seperti di atas kertas tidak pernah berfungsi dengan baik dalam praktiknya, tetapi kami memiliki sedikit atau tidak ada pendapat atau suara dalam operasi itu."
Negatif,"Tidak membayar pengemudi belanja rumahnya secara ekstra dibandingkan dengan asisten pengupas rak dll ... manajemen memperlakukan rekan kerja dengan sangat buruk, dan akan mendisiplinkan/memberhentikan rekan -rekannya atas kemauan.Anda dapat bekerja berjam -jam di lingkungan yang sangat menegangkan, dan jam yang dikontrak sangat buruk.Perusahaan tidak memiliki hubungan baik dengan serikat pekerja dll ... dan akan sering meminta kolega untuk melakukan tugas yang tidak masuk akal.Sangat sulit untuk maju di dalam perusahaan, dengan kebijakan 'jika wajah Anda cocok'."
Positif,Tempat yang bagus untuk bekerja selalu bersedia membantu Anda dengan cara apa pun yang mereka bisa
Negatif,"Pembayaran di bawah rata -rata dan tidak pernah meningkat
Pekerjaan tidak diakui oleh manajemen
Peluang progresi buruk tidak peduli berapa banyak keberhasilan yang Anda miliki, jika Anda tidak melihat bagiannya dan bekerja jam 7 pagi-7 sore Anda tidak punya kesempatan.
Keseimbangan kerja/kehidupan buruk bahkan jika pekerjaan Anda selesai, berangkat pada jam penutupan kantor akan membuat orang memelototi Anda."
Positif,Lingkungan kerja yang membantu dan ramah
Negatif,"Manajemen toko tidak mengikuti kepercayaan utama, beberapa manajer tidak berkomunikasi dengan baik"
Negatif,"Pekerjaan yang sangat membosankan dan berulang, bukan uang yang cukup besar: rasio kerja, jika tertangkap berbicara dengan karyawan yang akan Anda teriakan atau tanya mengapa Anda berbicara?Ketika semua manajer melakukannya adalah berjalan -jalan dan berbicara dengan orang lain.Bukan lingkungan yang menyenangkan.Pelanggan akan marah jika Anda tidak tahu di mana ada sesuatu.Waktu Natal dan Paskah sangat menyebalkan."
Positif,"Pekerjaan mudah, pelatihan yang bagus, potongan diskon 10%, skema bonus terkait kinerja toko, orang baik untuk bekerja sama"
Positif,Saya merasa seperti sedang bekerja di antara keluarga saya ketika saya bekerja di sana.
Positif,"kerja tim, dan manajemen yang baik"
Negatif,Manajer mengharapkan Anda ingin bekerja lembur sepanjang waktu
Positif,"Pekerjaan mudah untuk upah yang baik, apalagi pelanggan selama shift malam dan lebih banyak waktu untuk melakukan pekerjaan, sangat fleksibel dengan jam saya dan banyak lembur yang tersedia."
Negatif,"Di toko tempat saya bekerja di sana ada sedikit tanda Asda yang disebut tiga prinsip utama, yang utama yang tampaknya hilang dalam terjemahan adalah menghormati individu.Toko tempat saya bekerja memiliki gaya kepemimpinan yang lebih otokratis, yang berarti bahwa hampir semua tingkat manajemen melewatkan pekerjaan yang perlu dilakukan, meskipun saya sadar bahwa inilah yang diharapkan dilakukan oleh manajer, tidak ada aspek motivasi yang harus dilakukankepemimpinan mereka.Karyawan terus -menerus diawasi oleh manajemen yang tampaknya sama sekali tidak menyadari seberapa keras setiap karyawan bekerja.Hampir tidak ada organisasi di dalam toko tempat saya bekerja, formulir liburan diberikan kembali hingga satu bulan terlambat dan tidak ada penjelasan mengapa liburan telah ditolak.Sementara dalam masa percobaan saya, saya diberi satu ulasan 5 menit ketika saya seharusnya memiliki satu per minggu.Manajer malam terus -menerus bersumpah satu sama lain atau karyawan (yang bersumpah, saya juga akan) saya tahu pekerjaan itu harus membuat stres tetapi ada lebih banyak untuk menjadi manajer daripada melewati pekerjaan yang perlu diselesaikan, sedikit panduan akanBersikaplah baik."
Positif,Program pelatihan yang sangat bagus jika digunakan dengan benar
Positif,"lingkungan kerja yang hebat
Tingkat gaji yang dapat disessi"
Positif,"Saya beruntung memiliki tim orang yang baik untuk bekerja dengan, yang banyak mengajari saya dan membantu saya mendapatkan lebih banyak keterampilan."
Negatif,"Suasana yang mengerikan, sangat bias, hanya melihat sendiri"
Positif,"Rekan yang ramah dan membantu
Fleksibilitas yang baik untuk siswa pada saat ujian
Pelatihan untuk pekerjaan yang ada sudah cukup"
Positif,"Diskon 10% untuk berbelanja di toko dan online
Penawaran untuk pergi ke tempat dan melakukan kegiatan
proses pelatihan internal 
Perpaduan yang baik antara kolega untuk bekerja, pemberi kerja peluang yang setara"
Positif,"Diskon 10% untuk berbelanja di toko dan online
Penawaran untuk pergi ke tempat dan melakukan kegiatan
proses pelatihan internal 
Perpaduan yang baik antara kolega untuk bekerja, pemberi kerja peluang yang setara"
Negatif,"Tempat yang mengerikan untuk bekerja, orang -orang yang mengerikan"
Positif,"Manfaat bagus
Pengembangan Karir
Diskon 10% untuk Belanja
Voucher Hadiah Xmas
Xmas Double Diskon = 20%"
Positif,"Jam yang fleksibel karena toko -toko buka berjam -jam, peran bervariasi sehingga tidak membosankan, kesempatan untuk bergerak di antara departemen dan relokasi juga sangat mudah karena toko secara nasional"
Positif,1) Pengembangan dan pelatihan yang sangat baik untuk manajer yang bercita -cita tinggi.2) Nilai -nilai kuat yang berarti Anda mulai bekerja dengan beberapa orang hebat di lingkungan yang ramah dan mendukung.3) Rasa prestasi yang besar di akhir setiap hari terutama setelah yang panjang dan keras.4) Tidak ada tempat yang lebih baik untuk bekerja di atas xmas dengan getaran dan tekanan.
Positif,"Gaji yang baik untuk pekerjaan terampil rendah, pekerjaan yang baik untuk siswa atau orang tua, jam kerja yang sangat fleksibel, manajer tidak terlalu ketat, manajemen menghormati Anda."
Positif,"Perusahaan Global, Pengalaman yang Dihargai oleh Pengecer Lain"
Negatif,"- Memata -matai konstan.
- Persemasan staf.
- Hadiah untuk menusuk dan menceritakan kisah kepada manajer.
- Kecurigaan konstan dan tuduhan yang salah mencuri.
- Diharapkan untuk melakukan 5 pekerjaan sekaligus sementara manajemen dan staf favorit berkeliaran di ruang belakang merokok dan bergosip.
- Jangan pernah mendapatkan istirahat yang seharusnya Anda miliki.
- Pengawas malas yang akan memberikan tanggung jawab di sana kepada kolega tanpa pelatihan sehingga mereka bisa pulang lebih awal mis.Meninggalkan kami untuk menguangkan sendirian di malam hari, menempatkan staf yang sangat sibuk pada tugas pembersihan, membuat staf yang sedang istirahat untuk memproses pengiriman besar produk, mengambil staf dari checkout untuk melakukan pekerjaan yang kurang diinginkan dari staf lain yang lebih disukai.
- Kepanikan mutlak dan kekacauan di checkout tanpa bimbingan atau dukungan apa pun, tetapi kemudian ditegur karena memiliki pelanggan antrian.
- Favoritisme ke ekstrem.
- Jam kontrak tidak dihormati.
- Penindasan staf baru.
- Kecemburuan dan sabotase dari siapa pun yang tidak berniat bekerja di Asda selama sisa hidup mereka.
- Tidak ada perwakilan serikat pekerja.
- Suara yang dicurangi dalam pertemuan suara kolega (saya ada di dalamnya dan jijik dengan apa yang saya lihat)
- berteriak dan diancam oleh manajer setiap hari, kolega wanita berjalan keluar dari toko menangis beberapa hari karena kesalahan yang paling minim, mis. Tidak tahu bagaimana melakukan pengembalian dana (karena mereka tidak pernah dilatih !!!!)
- Secara harfiah harus memohon untuk diberikan seragam baru dan masih belum mendapatkannya (setelah 3 tahun yang sama !!)
- Banyak jam tidak pernah dibayar dan diberitahu bahwa tidak ada yang bisa kita lakukan.
- Sama sekali tidak ada ruang untuk maju (bukan yang saya inginkan) kecuali Anda menjadi favorit manajer.
- Orang -orang ditandatangani karena sakit karena depresi selama berbulan -bulan pada suatu waktu karena tekanan bekerja di sana.
- Tidak ada keseimbangan kehidupan kerja.Pergi ke atas dan ke luar atau pulang, tidak ada di antara betweem"
Positif,"Setelah Anda bersantai dan masuk ke dalamnya, itu adalah perusahaan yang bagus untuk menjadi bagian darinya. 
Mereka menghargai kejujuran dan sangat memahami orang ketika mereka perlu.
Anda menemukan orang -orang paling sederhana di perusahaan ini.
Tidak ada kerumitan tambahan yang tidak Anda butuhkan dalam hidup Anda."
Negatif,Tidak cukup jam diberikan per minggu.
Positif,Fleksibel dan lembur selalu tersedia
Negatif,Orang -orang di atas selalu melihat cara memotong biaya yang paling sering berarti bagaimana melakukan pekerjaan yang sama dengan orang -orang yang paling sedikit.Tidak seorang pun sekarang yang mulai ditawari kontrak penuh waktu.
Positif,Rekan kerja (minus pemimpin dan manajer bagian) adalah orang -orang yang luar biasa untuk diajak bekerja sama.Break System bekerja dengan sangat baik.
Negatif,Hanya melihat perilaku orang dan bukan keterampilan teknis /akademik
Positif,"Kartu Diskon, Bonus Tahunan, dan Kartu Hadiah/Diskon Natal"
Positif,"kerja tim
bisa melakukan sikap 
perkembangan 
dukungan manajemen
gaji
manfaat"
Negatif,"Manajemen bisa sulit untuk dikerjakan, ditekan untuk melakukan lembur"
Negatif,"Manajemen bisa sulit untuk dikerjakan, ditekan untuk melakukan lembur"
Negatif,"Berjam -jam, tidak, terima kasih, tidak ada rasa hormat dari manajemen senior"
Negatif,Sikap manajemen yang buruk terhadap keadaan pribadi.Departemen SDM secara positif membocorkan informasi pribadi karyawan pribadi.
Negatif,"Pengemudi belanja rumah tidak mendapatkan tambahan dari perguruan tinggi lain dibandingkan dengan pengemudi belanja rumah pengecer lain meskipun pekerjaan jauh lebih sulit daripada duduk di checkout, di luar, tidak aman di malam hari, menekan lembur, kemajuan karier sampah, manajemen yang mengerikan, terus -menerus terlambatKarena manajemen yang mengejutkan di toko dan barang -barang yang tidak dipilih tepat waktu.Berada di pusat kota sehingga flat lantai 4 yang konstan yang ditolak oleh perusahaan lain.Orang mencuri dari van.Tote terus -menerus dimuat di atas batas 25kg."
Positif,"Jam kerja yang fleksibel, sangat ramah, diminta menjadi Santa di gua dan mendapat 24 bungkus bir untuk melakukannya singkat!"
Negatif,Pekerjaan bisa membosankan dan membosankan
Positif,"Jam yang fleksibel, ini tergantung pada seberapa baik manajer Anda tetapi umumnya baik.Membangun lebih banyak keterampilan daripada yang Anda sadari.Kemampuan untuk pergi dan belajar atau memiliki istirahat karier kemudian kembali ke pekerjaan."
Positif,Pekerjaan keseimbangan hidup sangat bagus
Negatif,"Katakanlah ramah keluarganya, itu tidak, bagi banyak orang yang hanya peduli tentang diri mereka sendiri, tidak peduli tentang jujur ​​atau memiliki integritas"
Negatif,Manajer tampaknya tidak ingin membantu mempekerjakan banyak staf yang lebih muda
Positif,"Manajer lini yang hebat, shift fleksibel, gaji yang baik, dapat melakukan jam sebanyak yang Anda inginkan."
Negatif,"Gaji rendah.Pelanggan seringkali sangat menghina.Manajemen terus -menerus dalam keadaan fluks dan kadang -kadang terasa seolah -olah ada sedikit komunikasi di antara mereka.Manajemen tidak mendukung kolega dengan masalah.Pelatihan yang tidak memadai diberikan.Secara teratur pergi dengan kurang dari setengah kolega yang diperlukan untuk menjalankan departemen, ada hari -hari di mana ia baru saja ada di departemen."
Positif,"Jam yang fleksibel, memahami komitmen universitas dan perjalanan, mengubah kontrak saya karena dan ketika saya membutuhkannya berubah, tidak pernah memiliki masalah dengan gaji, beragam rekan kerja, kartu diskon adalah bonus, kolega semuanya ramah - banyak malam kerja."
Positif,"Manajer meninggalkan Anda sendirian untuk melanjutkan pekerjaan
Upah yang wajar mengingat keterampilan nol terlibat 
Sangat fleksibel 
Dapat mendengarkan musik selama 10 jam"
Positif,Peduli dan mereka adalah teman yang sangat hebat
Positif,Pekerjaan yang relatif mudah untuk sedikit lebih dari upah minimum.
Negatif,7 Manajer yang berbeda dalam 2 setengah tahun semua dengan cara kerja yang berbeda membuatnya sulit untuk menjaga semangat.Pekerjaan yang terlalu banyak melakukan 70 jam dan pasti dibayar rendah..
Negatif,Sangat sedikit atau tidak ada pelatihan.Orang umumnya terlalu banyak bekerja dan dibayar rendah ..
Negatif,"Politik internal di tingkat manajer toko berarti bahwa beberapa GSM menghabiskan lebih banyak waktu mengelola bos mereka daripada memimpin bisnis mereka.
Kebijakan keterlibatan karyawan yang dikelola dengan buruk menyebabkan kolega percaya bahwa ASDA adalah entitas yang baik hati daripada bisnis.
Lebih dari reaksi terhadap KPI setiap hari alih -alih tindakan secara konsisten mempengaruhi seluruh operasi dan pengalaman pelanggan.
Kepuasan di tempat kerja dapat dikaitkan dengan cara Anda melanjutkan dengan bos Anda.Selama waktu saya, saya menemukan bahwa banyak yang tertarik pada apa yang dapat Anda lakukan untuk mereka, tanpa balasan.Saya menemukan sangat sedikit pemimpin yang sebenarnya di antara populasi GSM.Banyak yang menjadi manajer tanpa kualitas kepemimpinan, dan beberapa tidak memiliki kecerdasan untuk memegang posisi dengan tingkat tanggung jawab itu."
Positif,Pegawai yang peduli dan tepercaya selalu
Negatif,Bagaimana kalau mencoba mendapatkan seragam baru setelah dipekerjakan selama 7 tahun kemeja hancur berkeping -keping
Positif,Orang -orang hebat dan suasana di beberapa daerah
Positif,"komunikatif
manfaat kesehatan yang sangat baik
pengaturan yang bahagia
Posisi kepemimpinan siap diperebutkan jika Anda cukup pintar dan ambisius"
Negatif,"Kekurangan staf, sering ditinggalkan di departemen saya sendiri dan tidak memberikan bantuan, pelanggan yang kasar, moral staf rendah, Asda tidak percaya memecat orang sehingga kolega dapat mengendur sebanyak yang mereka suka dan lolos begitu saja, pelatihan staf adalahMiskin, Kantin Staf Tutup (Saya suka makanan panas saya dan berpikir kami pantas mendapatkan makanan yang dimasak dengan baik saat makan siang dan sarapan) bukan seperti apa rasanya ketika saya pertama kali memulai di Asda, itu menjadi lebih buruk dan lebih buruk"
Negatif,"Pada kenyataannya pekerjaan itu tidak lebih dari buruh budak yang terlalu rumit.Mereka tidak melatih Anda ke mana pun di dekat level yang diperlukan untuk benar -benar melakukan pekerjaan Anda, lalu mengerang pada Anda karena Anda tidak tahu bagaimana melakukan tugas -tugas tertentu yang seharusnya Anda lakukan untuk memulai.
Manajer departemen lain akan menuntut Anda bekerja bagian tertentu dari lantai toko, terlepas dari tugas -tugas yang telah diberikan oleh penyelia atau manajer Anda sendiri.Jika Anda ditarik tentang mengapa Anda tidak melakukan tugas yang ditugaskan, Anda dikunyah secara terbuka di lantai toko dengan pertama -tama manajer Anda sendiri dan kemudian manajer yang mengatakan kepada Anda untuk melakukan pekerjaan itu di tempat pertama.
Kolega menghabiskan lebih banyak waktu mengobrol satu sama lain dan menggoda satu sama lain di toko daripada benar -benar bekerja, yang mengarah pada perpisahan hubungan eksplosif dan perkelahian di forum yang agak publik.Terlepas dari sikap ""selalu membantu pelanggan"" yang mereka ajarkan kepada Anda, jika Anda dibanjiri dengan permintaan pelanggan, Anda bermerek sebagai pemalas karena tidak menyelesaikan tugas Anda sendiri.

Ini adalah situasi yang tidak menang dari saat Anda mengenakan seragam hijau terkutuk itu sampai Anda melepasnya dengan marah dan memasukkannya ke manajer terdekat yang tersedia .."
Positif,"Kolega yang hebat untuk dikerjakan, rasa memiliki perusahaan yang nyata, skema gaji dan tunjangan yang baik.Peluang besar untuk melatih skema dan mengembangkan keterampilan jika Anda memasang diri Anda untuk itu.Sistem penghargaan yang sangat baik yang mengenali kolega yang bekerja keras."
Positif,"Relatif bebas stres (mari kita hadapi itu, tidak sulit untuk meletakkan makanan di rak), uang mudah, sangat fleksibel yang memungkinkan mahasiswa seperti saya untuk bekerja di toko di rumah dan di uni, beberapa orang yang sangat baik dan pekerja keras bekerja untukperusahaan."
Positif,"Beberapa pro dari pekerjaan ini (karena ini setiap jam) adalah banyak kesempatan untuk melakukan lembur.Dengan kenaikan gaji tahunan, kartu diskon 10% (setelah tiga bulan), voucher hadiah Natal dan hari diskon ganda di seluruh George, rumah dan waktu luang dan minuman keras!

Kolega menyenangkan untuk bekerja dengan dan begitu juga manajer (umumnya), sebagian besar pelanggan benar -benar senang bisa dibantu tetapi masih tidak menghentikan yang aneh dari mengeluh bahwa ada sesuatu yang kehabisan stok."
Negatif,"Diskon rendah, pukul 6 pagi mulai, paruh waktu meskipun saya ingin pekerjaan penuh waktu, akhir pekan membayar sama. Rekan kerja yang baik tetapi moral yang sangat rendah, memiliki setidaknya 1 pergi setiap bulan. Manajer Outokratis. Tidak ada penilaian."
Negatif,"Kontrak dan berjam -jam sampah, dibuat merasa bersalah karena istirahat, makanan murah di kantin, bekerja di tanah kemudian dikecewakan karena sakit, tidak ada yang peduli atau mendengarkan pekerja yang sebenarnya, manajer hanya tertarik pada nomor satu dan bulu sarang mereka sendiri sendiri."
Positif,"the best things about working at ASDA are the company benefits, i.e. 10% discount, discount in other company's i.e. Frankie & bennies, haven etc, the people you work with always make or break a company and the management mean a lot they'll alwaysCobalah yang terbaik untuk membantu Anda cuaca, Anda membutuhkan waktu luang atau lebih banyak shift yang akan selalu mereka coba."
Positif,"Manfaat, kolega, shift bertukar ide bagus"
Positif,"Rekan -rekan hebat, pemimpin bagian dan manajer - akan kehilangan beberapa manajer ketika mereka pergi!Mereka membungkuk ke belakang untuk saling membantu - tapi saya pikir itu manfaat dari bekerja di toko kecil semua orang tahu semua orang."
Negatif,"Di toko khusus saya tidak ada pertemuan suara kolega (yang merupakan persyaratan hukum yang saya yakini), manajer toko memiliki musik dengan sangat keras yang mengganggu interaksi saya dengan pelanggan karena sulit untuk didengar dengan jelas.Tapi itu hanya niggle kecil bagi saya, masalah saat ini adalah restrukturisasi manajemen.Hampir tidak ada komunikasi dengan kolega tentang hal itu dan moral umumnya rendah sebagai hasilnya karena jelas banyak manajer disukai dan sedang dipindahkan, mengundurkan diri, dll. Terakhir, kerumunan harian tidak pernah dikomunikasikan dengan rekan -rekannya danbaru saja ditulis di kantin kami untuk dibaca dan tampak begitu merendahkan dan tampil karena itu adalah kesalahan kolega ketika perusahaan itu berlebihan dengan upah dan tidak ada hubungannya dengan manajemen manajemen, salah urus."
Negatif,Jam tidak semuanya berlimpah dan telah berkurang selama setahun terakhir.Itu membuatnya sulit untuk tetap bahkan dengan pro yang ada.
Negatif,Kurangnya pertimbangan pelanggan membuat kami mengerang oleh pelanggan muak
Positif,"Suasana yang ramah, ketersediaan lembur yang baik dan sebagian besar pemimpin bagian terhormat dan sangat membantu di setiap shift. 
Kemampuan untuk melatih berbagai departemen untuk meningkatkan keterampilan dan peluang lembur.
Mereka fleksibel saat Anda membuat kontrak Anda.Karena saya juga seorang siswa, mereka mempertimbangkan hal ini dan telah membangun shift saya di sekitar ini."
Positif,"Orang -orang baik untuk bekerja dengan umumnya, staf yang layak menguntungkan hal -hal komunitas Loadsa dan diskon staf."
Positif,"Kerja tim yang hebat di lantai toko, semua orang akan membantu orang lain jika diperlukan, skema sharesave yang bagus dan skema pensiun.Keterampilan membangun tim yang baik dan jika Anda ingin memanjat pohon peluang ada di sana."
Negatif,Kendala keuangan dan pengurangan karyawan telah menyebabkan penurunan standar yang signifikan selama beberapa tahun terakhir;Restrukturisasi dan pengurangan manajemen reguler membuat perkembangan tidak menarik;Upah yang sering dihitung dan dibayar secara tidak benar karena implementasi sistem komputer baru sekitar 3 tahun yang lalu;Informasi/umpan balik yang bertentangan dari berbagai manajer membuat sulit untuk mengetahui apa yang diharapkan dalam pekerjaan Anda.
Negatif,Kendala keuangan dan pengurangan karyawan telah menyebabkan penurunan standar yang signifikan selama beberapa tahun terakhir;Restrukturisasi dan pengurangan manajemen reguler membuat perkembangan tidak menarik;Upah yang sering dihitung dan dibayar secara tidak benar karena implementasi sistem komputer baru sekitar 3 tahun yang lalu;Informasi/umpan balik yang bertentangan dari berbagai manajer membuat sulit untuk mengetahui apa yang diharapkan dalam pekerjaan Anda.
